word,mse_small_child,mse_medium_child,mse_small_medium
turtle,0.1125694478581361,0.0799543253582281,0.0371324077093001
tv,0.0345283326685164,0.0747673208606071,0.0387068660871108
walk,0.0251126053895533,0.0096922306175421,0.0197624259378964
wet,0.0070337858999358,0.0183512198188117,0.0063502876001103
yogurt,0.0115619125927614,0.0468900960158959,0.0483585432539302
yucky,0.0503242897940556,0.055394039505045,0.001020100075748
bathroom,0.0286260250335986,0.0148808097355708,0.0064234022148594
broken,0.0181524823155615,0.0929167307654548,0.1244490842313625
call,0.0060099164467453,0.0504888699298403,0.0379628173284198
candy,0.0228844527145423,0.0421260301117094,0.0775212232401972
carrots,0.0276254234369702,0.0247458230326351,0.0173385279709451
chin,0.0234399646385502,0.0077300124619141,0.0075940296464498
clap,0.0419866718990453,0.0380003514268415,0.0034750522808176
clean,0.0610632077055902,0.0247266434280675,0.0274594300459752
crayon,0.0593127153923529,0.060914428446519,0.0001045648172045
cry,0.0056754349744852,0.0319393267164603,0.0151345357047542
face,0.0120408141595718,0.0203833088399266,0.0153249770547731
fall,0.0322548292777466,0.0238581348347466,0.0071909274902484
giraffe,0.0480425482956113,0.0456542264070038,0.0206792528980914
glasses,0.0070905407161036,0.0083761271422958,0.0028417742192584
grass,0.0029369766550267,0.0135480617241379,0.0093880086781127
happy,0.0100346187714029,0.0680844637524841,0.0428599598529913
house,0.039531714195226,0.029415625200854,0.0128350822659373
ice,0.0188750473720683,0.0114571265347918,0.0119736406540022
kitchen,0.0268611243012251,0.0280720216797627,0.00393316667197
love,0.0093451692179863,0.0510279054600505,0.0474523762820893
noodles,0.0173668866509313,0.0271387426826525,0.0251842342778702
orange,0.0048890945024167,0.0120348334148422,0.0039931972076382
pancake,0.0504107577420221,0.0471745142982469,0.0096686977152153
plate,0.0456250227304105,0.0176308948288553,0.0146114617602795
red,0.0094224356567921,0.0670696318253872,0.0641368226241298
run,0.0127160441527911,0.0378724773643868,0.0132056429006104
see,0.038643926477481,0.07364826581837,0.0067756051077461
slide,0.0081066700938998,0.0096738948826085,0.0043453135863959
swing,0.0287818262555731,0.0162722147120872,0.0547225511893118
table,0.0170128185202692,0.0126323144073758,0.0165943563685324
tickle,0.0515661685274684,0.0533326681953146,0.0005385655700878
tiger,0.0312166974875455,0.0447231658882509,0.0082788898347401
toast,0.0107112649334294,0.0280023605308154,0.0213640811086714
towel,0.0110110564441455,0.0114584673585479,0.0046461200538768
wash,0.0092815709681606,0.0255975395254947,0.0060578354263206
yellow,0.053988285335861,0.02080422473422,0.0136140081825943
animal,0.0153362209975927,0.0368274359569511,0.0096118840397556
asleep,0.0118314801474987,0.0787792350667307,0.0330702265580596
blow,0.0249683890692323,0.010391633377276,0.0119846181597909
boy,0.0116266740504251,0.0138009526271298,0.0117160650418708
breakfast,0.0065144180590821,0.0159705922736189,0.0058553561228336
broom,0.0217720242842068,0.0481820021798724,0.0425218344690254
chocolate,0.0402576784929081,0.0093479167913759,0.0590394852001925
clock,0.0229495103762805,0.0203410233204923,0.0091892597953346
close,0.0654841761043805,0.0285742286124126,0.0209596723222969
cook,0.0778814772519966,0.1004153973205349,0.039795149008134
corn,0.0020751171952266,0.0166796329420205,0.0141712379461987
couch,0.0124512439179418,0.0101435497010939,0.0053491160897502
dinner,0.0120368872081872,0.0096413070644425,0.0009562327170909
doctor,0.0349714338986759,0.0238897649101339,0.0093030766963891
fix,0.0511397477970718,0.0533594813321387,0.0812707192093961
get,0.0358560745714059,0.0573993535217354,0.0031719461889723
girl,0.0145232950997137,0.0451476286604623,0.0215293884367892
good,0.0385060932720036,0.0632824650661773,0.0037756226671022
green,0.0407893692765382,0.0298638874715111,0.0071634269338581
helicopter,0.0121234721252322,0.0357258552730851,0.0267123886598744
hide,0.0109695494741857,0.0628379765288026,0.0372863324404928
hit,0.01129326663821,0.0595831290957637,0.0661405743028707
hungry,0.0087056291800854,0.0106447799237508,0.0051733859948627
hurt,0.0305594659759065,0.0505967805690198,0.0315188770926011
i,0.0100780944082775,0.0342951450371168,0.0500626484906521
kick,0.0372598285837885,0.0163526653890552,0.017581302884096
look,0.0109553997201509,0.0694400838272231,0.0459148951685158
lunch,0.01271588957371,0.0089895719037787,0.0091987227173324
medicine,0.0281531454677011,0.0081729997889223,0.0170029597896909
money,0.0075406566475206,0.0364713560368323,0.0422364422593979
my,0.038571926205553,0.0948566145230596,0.0155279080368516
napkin,0.0364858230954061,0.0574158732893145,0.0235151294435788
night,0.0421465759502425,0.0161880748778008,0.0152487647855732
pen,0.0069161418056529,0.0065014499474916,0.0048357825574315
picture,0.009016166853541,0.0315575773206782,0.0386862700177419
pool,0.0359693726367169,0.0300460424077548,0.0057629171687093
popcorn,0.0515435400454948,0.0230923221236731,0.0634117239652985
