word,mse_small_child,mse_medium_child,mse_small_medium
baby,0.3329126903402796,0.5509072836180993,0.0290589490763343
ball,0.6329602300870039,0.8331560429721385,0.0144364406268602
banana,0.2907851708419227,0.2952052090679935,0.0015385200158753
book,0.4492939043819772,0.5816375682988373,0.0096280983686193
bye,0.1516253234942198,0.3300278949293602,0.0387237865549026
dog,0.6130102232683301,0.6385715594308783,0.001465045532649
hi,0.0357279042212093,0.0334606220335301,0.0011720612302848
no,0.729545924883544,0.6010345947213785,0.0066366742731839
shoe,0.0489851746223352,0.082315060462728,0.008183517393379
car,0.3765784917981969,0.4574059873988165,0.0066220749282981
eye,0.2953634313683835,0.5211549007037733,0.0443168198232613
meow,0.0607273415559161,0.0759167486043079,0.0012017190191995
nose,0.1783694092952759,0.1615782805325843,0.0039085027676296
apple,0.2395146043271754,0.3608995466491105,0.017378768834373
balloon,0.1991978335240372,0.105660861190483,0.0192680062876474
bath,0.2506222136378488,0.2885558638808086,0.0044598983308567
bird,0.3371475781398779,0.2647026198048853,0.0102896213696293
bubbles,0.1872225017560963,0.082516235537844,0.0299519189585594
cat,0.2898667780579216,0.3120169196942044,0.0032058720837684
cheese,0.2076744452506621,0.1851357470292592,0.0041078636762095
cookie,0.1758025578761758,0.1458048862095528,0.0035197911019817
duck,0.2035489950071584,0.3762257901109043,0.0401750929055138
ear,0.1762393645666982,0.1855333945510677,0.0012689504320197
hat,0.1325391469553761,0.1043499083928529,0.0122674091955697
hello,0.0597619197927057,0.0315991969055345,0.1084547122642128
hot,0.3252125841970845,0.4416691542427108,0.0115517398626034
juice,0.2966304576633471,0.2888560220051367,0.0006832763846023
kitty,0.0347648732541895,0.0418725433896751,0.0011713305194955
milk,0.2502694904405298,0.2494832656333264,0.0007877783316067
please,0.1376155387147003,0.4235060820031376,0.0970088234885766
truck,0.2349423381151549,0.1554233437082154,0.0128253256975598
up,0.2040753435493074,0.2852810301262528,0.0100790701189968
yes,0.1284147585357548,0.2535954552803148,0.030447702944878
go,0.2045643239068951,0.3106253909174186,0.0151906388877071
water,0.1760489596888231,0.3296118431752022,0.0341969771184078
airplane,0.2174382394180801,0.1637526203198109,0.0128130333857659
bear,0.2885229428215861,0.33957349801597,0.0031662948249849
bed,0.209542573334679,0.2595375564399821,0.0041013629839334
bottle,0.2454545821895626,0.164835005280468,0.0090679223584458
bunny,0.0824215617481724,0.0873452659276104,0.0061284097834423
cow,0.1889564445018756,0.3225882276500321,0.0335221807992561
cracker,0.055082475373186,0.0510674007450829,0.0012496201375513
cup,0.1844160721128332,0.1866776827032648,0.0026753657265125
diaper,0.0548144771487185,0.0543121290873154,0.0025991829400247
down,0.1452229399050739,0.2917165249077322,0.0378957406606809
eat,0.1867600069397359,0.2949296956916741,0.0200132223336134
hair,0.1842183010046462,0.2342040128634844,0.0071477669535026
hand,0.2317353096586131,0.320443371420397,0.0098291200465097
mine,0.2752814699806932,0.1603823811908838,0.0226418751822202
more,0.2244033608079663,0.3149886779066976,0.0109950263179627
mouth,0.2286394088318492,0.216539633801889,0.0023846487343007
outside,0.171418663521707,0.1858743948006797,0.0013314800324891
spoon,0.1812170769434262,0.2241589959727989,0.0109578160697204
tree,0.1597939089755325,0.2740004404151104,0.0208669764084588
fish,0.1653622321599499,0.2509432221959475,0.0123251534935781
blanket,0.1904134416954538,0.162717173469159,0.0052001559843133
boat,0.2057490927484706,0.2122230994958793,0.0035633228953073
bus,0.1996576375814201,0.3280961747432884,0.0192432344208599
chair,0.192412195704949,0.1781179731870373,0.0029967086131537
cold,0.177805349379958,0.2989356310818193,0.0202173627759828
door,0.1540349389087032,0.2369127916712455,0.0135460155538684
finger,0.2169037417302772,0.2597393308744025,0.0077651975593323
flower,0.2026895212551325,0.1739110727830719,0.0034033375127197
head,0.201400082989355,0.3004268079526104,0.0188864501339771
horse,0.1682188983612285,0.2268558927716283,0.0059125363223483
kiss,0.0993806017998537,0.1981279613610967,0.0304160518982693
light,0.1541114832416784,0.2622891037968269,0.0218963889086474
monkey,0.1239469422056858,0.1297769300278263,0.0374815240425204
moon,0.2074959551609059,0.2622258660960066,0.0071377598483905
pig,0.3391191563686484,0.2518496522999706,0.0083280971498833
pizza,0.2293587251742091,0.1942507401553533,0.0065577994783646
potty,0.0681104504736627,0.0658842112865997,0.0004446434903243
puppy,0.174610196690114,0.1419185361844314,0.0448617531190525
shirt,0.2179988930477489,0.1114573794590282,0.0432040958467569
sit,0.169722660958129,0.2613837718123209,0.0255238138796964
sock,0.1172326498733555,0.034061862842969,0.0362397220447777
telephone,0.1373955676959695,0.1635095526368185,0.0103944468755611
toe,0.081175401342073,0.1189847965779318,0.0108524010471095
train,0.1892783268602503,0.2166450037843561,0.0049737530803539
tummy,0.0794781580235196,0.0738597612214635,0.0010882755319338
arm,0.1773893204201477,0.2097964637227992,0.0037271561190804
bathtub,0.1502185695425018,0.1481161772288984,0.0018268245756643
bee,0.1282520502278537,0.0979918130558431,0.0190491439744415
bicycle,0.2504707109900445,0.2579606722833916,0.0027411392854776
big,0.2685481427967292,0.2900232677600272,0.0011713186310847
bite,0.1759902105826455,0.1256804927128219,0.0200348714742188
block,0.1394260312174211,0.2168207336690363,0.0149600924377043
blue,0.2375811523108727,0.3043250962327033,0.0061251004336765
boots,0.1761848796240223,0.2169408989677158,0.0087575213631466
bowl,0.1890248560602038,0.2944000195820971,0.0153314971662218
box,0.1915436175236987,0.2628469554316502,0.0158408114756201
bread,0.2117491751834807,0.2529322161067678,0.0041489718894489
brush,0.1902099096109152,0.1777309872012888,0.0058557277890407
bug,0.1532623949012285,0.2317960193737399,0.0265360027729079
butterfly,0.1450847909315501,0.1116144908555078,0.0145030991322595
button,0.1785813057191263,0.2229210163053647,0.0032991401762759
cake,0.2062519000151738,0.245215666329234,0.0043180310162783
cereal,0.1499684692425411,0.1404438311945264,0.0156012606397019
cheek,0.2090067122645209,0.1832285511668855,0.0060420028096228
chicken,0.239377936350071,0.2796915376335337,0.006044555839695
coat,0.1721833984079139,0.1772824760682723,0.0012078875839723
dance,0.2078461690991331,0.2008297755347033,0.008076736549386
dirty,0.1970175120147195,0.2020152774865029,0.0001549147421166
doll,0.179933423885986,0.0929785544085676,0.0282218000133115
drink,0.1846498664892586,0.2565312389537528,0.0079928424053158
egg,0.2547871415249182,0.2366826758647725,0.0041980510442747
elephant,0.1592108478591697,0.2116107151588329,0.0121251062977788
food,0.1932992319400922,0.2372336372063297,0.009225656658621
foot,0.2055210461476448,0.3218306396132527,0.0161084354561077
fork,0.182116601064124,0.1591342530315524,0.0096446567205664
frog,0.1524884856188171,0.2532391977099794,0.0291186795427378
grapes,0.1735845427663903,0.1775933220092229,0.0042019377237456
help,0.2492286976341658,0.309938116084719,0.0084699638970557
home,0.2062931613612968,0.2865730465958366,0.013958918341022
hug,0.1754923191150927,0.0919543230801578,0.0209040458592379
jacket,0.2461005625062962,0.2106267996694536,0.0017566780957577
jump,0.1965158498370176,0.2332504513178742,0.0073313994579269
keys,0.1976054661645082,0.1751827532736985,0.0021796461658389
knee,0.1979907012958257,0.200967626590723,0.005300591901822
leg,0.2216158309603961,0.2938324990346513,0.0081627110188259
lion,0.1849564596389843,0.0863626091000721,0.0360250644455497
me,0.2216961646489159,0.2654268047566154,0.0046928911509057
mouse,0.2390212311713347,0.2135304310484662,0.0083581355213568
nap,0.2181225231338545,0.2236752487114681,0.004183714154027
off,0.1831883706963882,0.2438019409090625,0.0110921677291091
on,0.2624074834198969,0.2770203720470831,0.0005915778233315
open,0.2378967102267529,0.2752585218068365,0.0031518550467934
out,0.2053390926500585,0.2452466643762626,0.0057165442933693
owl,0.0850300334752829,0.1220771385834397,0.0083534048973766
pajamas,0.1014778193883332,0.0814929845578084,0.003866739933057
pants,0.1968788053114033,0.2040852470142765,0.0014712681243432
paper,0.2173235602200549,0.2462419749765577,0.0017938521693027
park,0.2326935293009593,0.2604213492651486,0.0021889325555515
pillow,0.1860884705468805,0.1880288835768682,0.0153433503552335
play,0.2053231912762277,0.3035579569548373,0.0281161383187533
rain,0.2045554807278023,0.2139012776672915,0.0029929275532176
read,0.2363272790148052,0.2776386936874734,0.0051748813660324
rock,0.1210190857137617,0.2100508406554614,0.0177496344528764
sheep,0.1864942426583995,0.1822587559761718,0.0015719007805998
sleep,0.1945815077181543,0.252631564027601,0.0065200202479372
snack,0.1352551910563464,0.1129043997286623,0.0542414324517489
soap,0.1969464600454706,0.1450848617680324,0.0605740570224235
star,0.1648804548073138,0.2222612936544332,0.0088711325576606
stop,0.2225224829838498,0.2978200988144876,0.0145696756671155
strawberry,0.1299742972288617,0.1654284186956382,0.0043341961333303
sun,0.1934426268992647,0.2944862256317908,0.018087709210192
tongue,0.2140399648085904,0.1969000694293291,0.001583627951461
tooth,0.1806101730769,0.0729383809385511,0.0299526156030898
toothbrush,0.0749751213598255,0.0773104978408993,0.0024593940228651
toy,0.3167143994205868,0.1027979401011968,0.0699001505959487
turtle,0.1601700622599572,0.1129650758934181,0.012700055099551
tv,0.1177628139146225,0.1539665183886052,0.0206255396202426
walk,0.1775760866260809,0.2061785128478582,0.0046740345604263
wet,0.2611073170136936,0.2641348028581339,0.0026594693563
yogurt,0.171105107969781,0.1575981741424282,0.0035831677389863
yucky,0.053116906135663,0.0505337344694247,0.0002224585303887
bathroom,0.1934883410798654,0.2583218367890787,0.0070668944141931
broken,0.2272356641208645,0.3087635968129411,0.0281477541567848
call,0.2056247708783661,0.2539007745906816,0.0103031576301537
candy,0.2725980938042737,0.0951756065798852,0.0630079155018935
carrots,0.1192120356630483,0.1371880787866464,0.0112356009124853
chin,0.1926295954167413,0.2155139240209493,0.0044380904218024
clap,0.0655336249105397,0.0708786495775333,0.0009364515854783
clean,0.203997297763386,0.2595527594220702,0.0067817935779933
crayon,0.0757817767166466,0.0747619023453034,2.4882622740950946e-05
cry,0.3039888937265018,0.2928508759251727,0.0033728557069422
face,0.2312712993540649,0.2642965311211361,0.0051240094790497
