param,pair,corr_type,rho,p,n
L,child_surprisal,pearson,-0.02600840339549173,0.5721802122982123,474
L,child_attention,pearson,-0.08818207094654196,0.055043928653311675,474
L,surprisal_attention,pearson,-0.20426886580217532,7.364959994426641e-06,474
k,child_surprisal,pearson,-0.14846924888096064,0.0011875473285337809,474
k,child_attention,pearson,0.0714704307367246,0.12020811620013508,474
k,surprisal_attention,pearson,0.051065912729280676,0.26718342630267766,474
x0,child_surprisal,pearson,0.03643383983624166,0.4287168839182063,474
x0,child_attention,pearson,-0.1408860140057857,0.002108164813404857,474
x0,surprisal_attention,pearson,-0.03816170464247142,0.4071341673561284,474
b,child_surprisal,pearson,0.3218353733290954,6.957574860998853e-13,474
b,child_attention,pearson,-0.10296291706791216,0.024980545315868637,474
b,surprisal_attention,pearson,-0.07518620965076275,0.10206741533543515,474
