param,pair,corr_type,rho,p,n
L,child_surprisal,pearson,-0.030104709272756984,0.5136596806014309,473
L,child_attention,pearson,-0.07781269975685695,0.09095137262628879,473
L,surprisal_attention,pearson,0.11626040789828922,0.011393496434088065,473
k,child_surprisal,pearson,-0.0620752712943847,0.1777304765560056,473
k,child_attention,pearson,0.06674272415512764,0.14724431009129293,473
k,surprisal_attention,pearson,-0.016346971297830568,0.7228846712419343,473
x0,child_surprisal,pearson,-0.03576175772281698,0.4377742787417569,473
x0,child_attention,pearson,-0.07517154853251323,0.10249878851774921,473
x0,surprisal_attention,pearson,0.04873343650582176,0.29018931703847145,473
b,child_surprisal,pearson,-0.005289379853632658,0.908656885851648,473
b,child_attention,pearson,-0.1333186383781227,0.0036749464798167117,473
b,surprisal_attention,pearson,-0.10413750542376331,0.023512069889033607,473
