param,pair,corr_type,rho,p,n
L,child_surprisal,spearman,0.132889847064368,0.0037871467845672913,473
L,child_attention,spearman,-0.0067794115445832075,0.8830893753020093,473
L,surprisal_attention,spearman,-0.028620603786627653,0.534640913703436,473
k,child_surprisal,spearman,-0.08783411720574623,0.05627472052862291,473
k,child_attention,spearman,0.10208363855899319,0.02641193186785264,473
k,surprisal_attention,spearman,-0.1689458613214869,0.00022322123798491152,473
x0,child_surprisal,spearman,0.07807033578526872,0.08988314818106748,473
x0,child_attention,spearman,0.03282024427426902,0.47640510297335426,473
x0,surprisal_attention,spearman,-0.0516098224981437,0.26262162062537925,473
b,child_surprisal,spearman,-0.05909750876895367,0.1994897274781073,473
b,child_attention,spearman,0.037060820909231525,0.421302713272392,473
b,surprisal_attention,spearman,-0.016404849198490647,0.721944042918137,473
