param,pair,corr_type,rho,p,n
L,child_surprisal,pearson,-0.02573296076764596,0.5698566383187031,490
L,child_attention,pearson,-0.08593793995669848,0.05730504318907615,490
L,surprisal_attention,pearson,-0.20459996494936208,4.975124308390228e-06,490
k,child_surprisal,pearson,-0.15291027845339514,0.0006833819559733361,490
k,child_attention,pearson,0.06466003695266638,0.15296077782556713,490
k,surprisal_attention,pearson,0.05420362503284169,0.23104763517312507,490
x0,child_surprisal,pearson,0.03668854136443638,0.41774817388443813,490
x0,child_attention,pearson,-0.1396733243501073,0.0019410381141728606,490
x0,surprisal_attention,pearson,-0.03868753110043301,0.3928181945769787,490
b,child_surprisal,pearson,0.3218873201400639,2.828423519562817e-13,490
b,child_attention,pearson,-0.10177595946189935,0.02425877004670006,490
b,surprisal_attention,pearson,-0.07418039405301019,0.1009803255786044,490
