param,pair,corr_type,rho,p,n
L,child_surprisal,spearman,0.03904108942816191,0.3885043328812595,490
L,child_attention,spearman,-0.19688404043536128,1.1328520106764305e-05,490
L,surprisal_attention,spearman,-0.2279433713185148,3.3938860578637686e-07,490
k,child_surprisal,spearman,-0.13978167679301678,0.001925190113194988,490
k,child_attention,spearman,0.04372680962980323,0.3340821490576519,490
k,surprisal_attention,spearman,0.14269017091674174,0.001541617363385997,490
x0,child_surprisal,spearman,0.1866359208459164,3.218966868361068e-05,490
x0,child_attention,spearman,-0.121137530768558,0.007263022052032436,490
x0,surprisal_attention,spearman,0.023933443780970967,0.5971440348919425,490
b,child_surprisal,spearman,-0.030102225689046132,0.5061848283527928,490
b,child_attention,spearman,0.09531155133201434,0.034925043475090234,490
b,surprisal_attention,spearman,-0.10970989772841153,0.015112671415102436,490
