param,pair,corr_type,rho,p,n
L,child_surprisal,pearson,-0.02979490494223791,0.510972132215786,489
L,child_attention,pearson,-0.07650137240001281,0.09105688310035058,489
L,surprisal_attention,pearson,0.1201196159228213,0.007835376036902007,489
k,child_surprisal,pearson,-0.06738532043676285,0.13675276157985763,489
k,child_attention,pearson,0.06755616317812997,0.13575838279168173,489
k,surprisal_attention,pearson,-0.019448703164917532,0.6679117409808949,489
x0,child_surprisal,pearson,-0.03610885296665122,0.4256230699912803,489
x0,child_attention,pearson,-0.07476554285106803,0.09865755764184878,489
x0,surprisal_attention,pearson,0.04750569118347574,0.2944482760477118,489
b,child_surprisal,pearson,-0.005214755128502005,0.9084282101351038,489
b,child_attention,pearson,-0.1312035147537716,0.0036550023275277246,489
b,surprisal_attention,pearson,-0.10235430230122375,0.023601741678658535,489
