param,pair,corr_type,rho,p,n
L,child_surprisal,spearman,0.1275206431763091,0.004739443139947476,489
L,child_attention,spearman,-0.003065124269560988,0.946098609468468,489
L,surprisal_attention,spearman,-0.01737639237531481,0.7015005291390419,489
k,child_surprisal,spearman,-0.08554125864365661,0.058727463526245874,489
k,child_attention,spearman,0.10512307910190127,0.020065590711513922,489
k,surprisal_attention,spearman,-0.17490953537202877,0.0001010955783320084,489
x0,child_surprisal,spearman,0.07083323925969867,0.11774325812662109,489
x0,child_attention,spearman,0.031534132309264856,0.4866082485391642,489
x0,surprisal_attention,spearman,-0.05898067967003759,0.19289728654670993,489
b,child_surprisal,spearman,-0.06357420973015578,0.16041990794938452,489
b,child_attention,spearman,0.03371390394637188,0.4569789352446172,489
b,surprisal_attention,spearman,-0.008510243079430305,0.8511026498582732,489
